GeneSymbol	S08_Treat_F	S10_Treat_F	S12_Cont_M	S13_Cont_M	S14_Cont_M	S15_Treat_F	S16_Treat_M	S20_Treat_F	S21_Cont_M	S22_Treat_F	S24_Treat_M	S25_Cont_M	S26_Treat_F	S27_Cont_F	S28_Treat_F	S30_Cont_M	S31_Treat_M	S32_Cont_F	S33_Cont_M
A1CF	0.140353219121706	0.228098526470737	0.193709487048575	0.140353219121706	0.140353219121706	0.140353219121706	0.140353219121706	0.140353219121706	0.337699554679102	0.140353219121706	0.247093432111703	0.320031379206581	0.606157099305252	0.140353219121706	0.140353219121706	0.339514369244203	0.140353219121706	0.294161867683669	0.629825411308099
AACS	77.8725990782361	82.1912884830885	75.7476002299538	73.8420651860332	101.595181138507	91.0244959871451	80.9813403865714	81.187917010577	78.0505177969184	85.0422154950894	96.5519498107112	85.387301693139	66.6843332415576	78.1427882399485	71.6116883191759	63.1861098011996	66.9716053126451	70.8021506632359	87.3226969727266
AADAT	11.2046202380972	11.3688043841447	6.11092571094529	5.51372458226203	7.90846863622305	14.1554689115642	8.87542648084534	12.0001518853619	15.543438444197	8.92440054956403	15.9074762282276	12.5832906952089	16.0410537245262	14.103976051361	9.48503046989175	11.4325143541711	11.988889622054	15.0175429531806	8.90868533752558
AAGAB	98.4197138205199	88.8490380434575	75.72500106914	100.305568323524	95.5634182951916	77.6393264697349	97.0108196986172	107.218568094548	94.0198792860597	81.8410092243819	97.2246434103818	104.509611658845	100.652301777477	97.7296908443707	107.022972128935	97.231320039586	102.454557904365	87.5763908150414	76.4747114058344
AAK1	280.165353944701	310.709464042448	221.347063120544	251.698441309987	272.304896993831	229.748774835926	257.123602409655	313.390532112275	318.018666928594	296.099237538996	290.989666774791	306.050628869174	291.578102567974	310.805736946948	310.605737084178	303.855939856483	279.054666678253	310.75214041846	280.842484558422
AAMDC	40.5227190779786	31.2216293503279	37.7588212279816	35.2935602657662	33.6048196618926	21.7179805733251	30.5234002032877	35.3125068463936	25.2421737295687	22.5783095968524	28.0233862628083	35.281228087617	43.381548104403	32.9595577814061	48.901468338844	43.1190002433961	33.5426035941345	33.3518751284687	38.5011449031806
AANAT	0.773537384014866	2.02235712888663	0.559513704625595	0.329510560177322	0.392612678528917	0.158571628821686	1.37345424604152	1.8438832393129	0.705504250135231	1.626627343161	0.794686146558511	1.27124985200239	0.838481411514206	0.926825692970822	0.94217782073528	1.07182194173145	1.15486052649509	0.654041571305847	0.795512821738678
AAR2	34.8930510103308	37.1797045364505	31.1010368400424	34.1338945008348	36.9502832736322	30.1585027099148	32.8375997565934	42.2755107255274	38.0102934027	34.9177529641588	36.0268757052545	37.9087037392846	34.0730376874702	34.1974934939011	38.1042159825897	33.6455504139962	35.9039476191603	31.7356367025368	34.0540367699823
AARS2	15.7522779466538	23.4850237869357	13.1977919241649	14.2061397225647	16.1175679062865	10.356324769691	14.4427780794645	18.4489193719305	14.4522765906014	15.4242979272437	14.5964233178887	17.2656737056921	17.6145066504261	20.5791710885382	15.5282490950183	19.5443662235552	21.3844890771089	16.539591960847	15.7918079374454
AASDH	39.444574473846	39.5699520872854	44.8328002979667	33.0773924463789	39.8965928234716	39.5020275515527	44.2920041657163	31.7441998560807	36.5665737162678	36.4044787597878	25.2695487637046	27.3718761575485	36.4158466682686	34.7787513244576	36.2575996717773	29.9668466659492	39.5742025522332	40.8896963131623	38.2564728871058
AASDHPPT	87.6803789769661	78.7216593755023	86.1725484830184	88.5258659640254	83.3197249642189	110.182267495095	98.4072143908928	70.7246119768371	84.812715375619	85.6307518524628	89.0314205409905	63.5795913147156	89.6223249033202	65.8837647200869	81.2518958718612	68.0191937777426	64.9305429562655	72.2775673555564	82.2824763674844
AASS	12.2434094495372	6.22116413953073	15.3352108559346	6.30726749679286	17.2849633878333	26.7992113292644	9.08314771552621	13.326701599004	16.5512730029498	12.672111363601	13.9881250501753	14.4106285376	10.3672377336945	13.2277303310917	11.7806640731854	12.5713833945565	11.0717584890973	10.3898595825063	11.0147611871608
AATF	71.8229695885869	63.4645200546571	58.5965322592056	61.321930372163	74.4979691455599	57.113459440005	75.2240397492606	67.1229862537482	59.1642540835416	53.684934290629	63.5949851008356	60.3923889320192	40.3078638657881	61.7494558528795	73.28411932876	62.2300429583717	75.6850317262964	57.8654729937551	59.1406978179456
AATK	139.86140936614	347.911505787183	63.9839881350457	125.72111747135	136.848806773009	63.2747164711034	102.601848949158	241.352366025888	115.458911561503	147.532882475481	115.03225946464	141.806921081001	91.8137595685981	139.997039755232	176.301932923639	173.038602296692	144.009039653142	139.378756993671	122.317682902766
ABAT	255.774615879629	268.657878716451	201.788355484578	220.865126595656	232.709996083951	272.280962064845	270.42073117527	210.382843622153	318.105792998629	236.352972053566	285.889534574834	276.776590758881	324.745732959264	243.320675666288	278.581816400316	258.713940316119	334.826954016624	239.440830183234	230.588290418887
ABCA1	68.9569550355577	38.8610871831528	151.225355051624	109.063395891315	99.2045729216604	56.4839170928991	120.621488295134	95.2910876806486	129.22845200622	124.9993786481	133.48571693526	88.87636612231	103.056382470543	120.379231386045	68.981679317121	161.405625004279	169.301775833551	188.196487267577	111.991782221164
ABCA12	5.27955928602336	3.90990637421558	5.6679499230994	6.35166562392317	4.17795254273955	2.74955749612083	5.6554032115488	4.94406662681546	3.36558822946028	3.59358063910059	4.77182897527187	5.77079970235294	6.15856278157005	9.94168116768656	4.50638358843571	7.583146961142	5.11471330712819	9.70006654177077	5.02051919172127
