GeneSymbol	astrocyte	ependymal cell	oligodendrocyte	neuron	endothelial cell	microglial cell	fibroblast	mural cell
AAGAB	96.20531598234711623	135.30861197269319973	71.79821176016581319	110.51463828479539586	77.57451493584191837	106.74570066532622548	184.94691827055169142	104.28004537737615465
AASDH	63.23814859456428650	43.60558153284387117	33.16897891874820914	33.24929085531646678	12.24404173158366760	27.49992964528487960	24.48952114055835594	24.32165105930009474
AASDHPPT	45.76308239463126881	58.31832746341952145	83.63703970551765110	98.99553557128682257	62.21336059191716572	50.43428443618334001	85.82211300857115077	75.38235582919644173
AATK	62.41955954650035920	44.68096838939217008	265.19948043023151740	82.56645994883523088	209.75230098879114848	36.08527603298189490	355.21633589659279551	0.00000000000000000
ABCA2	80.91122018498809609	0.00000000000000000	288.19416021019208074	53.96504194001806098	225.94294397375182371	37.20522069573404167	1054.28284769105243868	0.00000000000000000
ABCA3	112.73974736614532333	62.17461079402762891	99.98487402567894833	172.24764799785768332	80.45747515113949078	32.82379765432748542	52.72749762889163350	89.19998967603996221
ABCA4	0.77806090565978447	100.81427906530552718	0.23336529116706550	0.93581754488641722	9.42990863425644044	0.38291123917695336	46.05343993328502705	3.72511657202878688
ABCB1	5.45070642742979139	13.00358488219761632	6.77735586705561488	29.75672417932327463	1329.04362607662415030	7.76559780802461574	79.58231753786130014	86.76600325430206340
ABCC4	33.73666562155529647	0.00000000000000000	8.27416567245340318	20.63674107720174788	0.00000000000000000	245.25725716223945483	0.00000000000000000	25.76143331508461998
ABCC9	129.18809186681090750	28.15514495032460474	6.13519825728366808	10.06359666152851950	146.76976549060415778	0.00000000000000000	5.09754541496225499	201.31341093098404826
ABCD2	152.28386885875599432	0.00000000000000000	17.03718787442467075	60.36097266060500033	41.19772107563539976	10.95618097679652969	137.44097386274009409	0.00000000000000000
ABCG1	17.99679710941527588	13.58205462175495626	67.30013890105377072	28.45783103084296073	82.96494720246288068	52.37486136344880805	83.60636088645944142	17.19246528153268372
ABCG2	1.80092209774333067	1.63284991732235230	1.94093251359538366	2.22429319014345905	537.61790116567112818	7.61324185487481486	0.00000000000000000	17.99954107486055221
ABHD14A	10.57892259108019317	14.46451746321412557	14.79836170435689802	50.08854539132786954	7.40207149943200537	6.27719644694423540	0.00000000000000000	18.46299372676229922
ABHD17A	34.96040025543199903	36.41699716846363089	88.53302005948441433	28.91514277846704317	116.98329880504860512	39.00818539683663033	28.86042228863330550	91.59227533417045208
ABHD17B	29.86791538933083956	44.71931644870550571	130.79590742296909411	32.68180003846847370	122.93332541731328433	39.59999612128925861	174.23713388864530316	12.38911510543469596
ABHD3	81.05588408911745546	77.27806127840923978	26.86814571234357985	55.34631806937973408	95.34370686789542049	155.95406202264669560	115.64383546454874363	24.90344076665288497
ABHD6	51.25793564329013918	69.50952558257247915	135.43183193027542188	62.50027532328568469	134.49510708221734490	56.10630549294754132	179.14538036498345264	27.77897661528126605
ABLIM1	1051.08509153728346064	0.00000000000000000	74.44247331083202823	293.39169551767236044	957.28377538674283187	6.84684475943064452	1155.33448164592527974	0.00000000000000000
ABLIM2	55.09895002044365242	0.00000000000000000	58.35483511702697257	225.17208638438063417	0.00000000000000000	19.43353280906927694	326.55893338154749017	70.69170472900427171
ABLIM3	43.30942413293931281	5.67146766862509821	37.91759743681704720	79.64348820247472815	132.55596289340530802	10.39020715017998953	215.74265546640586422	32.61399256684948966
ABTB2	47.05535056346955258	14.32226135914313936	124.31664441660456077	18.17886281226362044	157.79660559738351822	11.76238554930847435	686.35247171622813767	0.00000000000000000
AC013461.1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
ACADL	61.99286224397446432	108.61856332072491682	23.13806312547250954	17.76535529833475380	27.36032573960937953	11.59739978488995149	990.74032825274593961	200.93622227089556986
ACADSB	70.12216117049528918	85.23926464254017787	82.58512157549654376	74.08675468914439932	41.41590812536850308	33.76279275125624935	57.45153159891236783	18.09163991983076158
ACAP3	87.59497653189370681	54.27094145759992472	117.09027392917330701	116.88397726091595530	47.74030349753472535	32.10213985937333803	164.34797288196136833	80.49173185008655196
ACAT1	109.76303696409884481	179.66219973747180916	95.24556269354722815	134.79005801336467130	199.16326072548454817	90.36397590718340211	152.90857086208399096	162.76151829748533828
ACER2	0.76525678432959399	5.55426054616254561	2.15372583697860476	5.01675045653882368	45.21343060345530773	4.40183451107004853	5.87892641066110588	6.97919888235824182
ACKR3	67.70069724665897581	11.40701979551576706	4.46907346531803817	6.26185101204440198	151.36396653464478845	2.21170752409543914	95.20449797445014894	173.88183944174900830
ACO1	90.73387376074859390	79.15252605293447630	60.64292348388894993	89.85225711188095943	52.97554534128086345	56.11021982675487152	130.20542968111882942	73.75607013829616676
ACOT11	279.77889674277031418	140.19527182097877471	26.37641141856426330	50.96210256204563649	182.76693102274518310	33.46992416377842261	60.17055231326926901	43.18084977421527526
ACOT7	88.53863517054509202	0.00000000000000000	110.82973924025691304	278.18197989450715113	0.00000000000000000	40.65847413057958448	190.71829793755736659	127.09578878598627227
ACOX3	43.69815014269726561	42.70198559166521335	37.58614422478333950	28.01406736062515179	0.00000000000000000	37.29325487935803096	71.94295182442206738	40.33525127234510421
ACP6	79.22416749541690706	30.06924379422547844	27.11698383046584837	30.61750936905620435	57.21760587079143079	37.46542447157573719	54.25303244219434617	27.88362628897850115
ACSL1	33.79708429462955621	0.00000000000000000	109.82867804942448231	48.07985237518245469	0.00000000000000000	236.16429349914861291	61.79073927485570294	97.21496499724199225
